torneo,anno,tipo,sezione,turni,rango,nome,fed,rating,punti,performance,gio,nato,std,eta
137973,2014,rapid,open,,96,Al Qudaimi Basheer,YEM,2397.0,6.0,2439.0,al basheer qudaimi,1984.0,2372.0,30.0
137973,2014,rapid,open,,97,Tissir Mohamed,MAR,2419.0,6.0,2402.0,mohamed tissir,1976.0,2300.0,38.0
137973,2014,rapid,open,,98,Omar Noaman,UAE,2310.0,6.0,2309.0,noaman omar,1991.0,2329.0,23.0
137973,2014,rapid,open,,99,Al-Sayed Mohammed,QAT,2494.0,5.5,2566.0,al-sayed mohammed,1981.0,2484.0,33.0
137973,2014,rapid,open,,100,Moradiabadi Elshan,IRI,2586.0,5.5,2435.0,elshan moradiabadi,1985.0,2477.0,29.0
137973,2014,rapid,open,,101,Sriram Jha,IND,2418.0,5.5,2388.0,jha sriram,1976.0,2306.0,38.0
137973,2014,rapid,open,,102,Breckenridge Steven James,USA,2310.0,5.5,2354.0,breckenridge james steven,,,
137973,2014,rapid,open,,103,Faisal Abdulla,UAE,2247.0,5.5,2295.0,abdulla faisal,,,
137973,2014,rapid,open,,104,Taleb Moussa,UAE,2406.0,5.0,2336.0,moussa taleb,1978.0,2406.0,36.0
137973,2014,rapid,open,,105,Saeed Ishaq,UAE,2246.0,5.0,2289.0,ishaq saeed,1993.0,2290.0,21.0
137973,2014,rapid,open,,106,Hilwani Talal,SYR,2395.0,5.0,2267.0,hilwani talal,,,
137973,2014,rapid,open,,107,Othman A. Moussa,UAE,2275.0,5.0,2254.0,a. moussa othman,1975.0,2226.0,39.0
137973,2014,rapid,open,,108,Alhuwar Jasem,UAE,2246.0,5.0,2250.0,alhuwar jasem,1979.0,2272.0,35.0
137973,2014,rapid,open,,109,Alahakoon Isuru,SRI,2094.0,4.5,2179.0,alahakoon isuru,1987.0,2046.0,27.0
137973,2014,rapid,open,,110,Al-Hajiri Bader,KUW,2026.0,4.0,2144.0,al-hajiri bader,1968.0,2033.0,46.0
137973,2014,rapid,open,,111,Byambaa Zulzaga,MGL,2281.0,3.5,2125.0,byambaa zulzaga,1974.0,2172.0,40.0
137973,2014,rapid,open,,112,Hj Azahari Md Aliuddin,BRU,2136.0,2.0,1939.0,aliuddin azahari hj md,,,
137973,2014,rapid,open,,113,Kuzubov Yuriy,UKR,2656.0,0.0,0.0,kuzubov yuriy,1990.0,2587.0,24.0
